8500,Kortrijk
8501,Bissegem
8510,Marke (Kortrijk)
8511,Aalbeke
8520,Kuurne
8530,Harelbeke
8531,Bavikhove
8540,Deerlijk
8550,Zwevegem
8551,Heestert
8552,Moen
8553,Otegem
8554,Sint-Denijs
8560,Wevelgem
8570,Vichte
8573,Tiegem
8580,Avelgem
8581,Waarmaarde
8582,Outrijve
8583,Bossuit
8587,Spiere-Helkijn
8650,Houthulst
8710,Ooigem
8720,Wakken
8740,Pittem
8760,Meulebeke
8770,Ingelmunster
8780,Oostrozebeke
8790,Waregem
8791,Beveren (Leie)
8792,Desselgem
8793,Sint-Eloois-Vijve
8800,Oekene
8810,Lichtervelde
8830,Hooglede
8840,Westrozebeke
8850,Ardooie
8851,Koolskamp
8860,Lendelede
8870,Izegem
8880,Ledegem
8890,Dadizele
8900,Sint-Jan
8902,Hollebeke
8904,Boezinge
8906,Elverdinge
8908,Vlamertinge
8920,Poelkapelle
8930,Menen
8940,Geluwe
8950,Heuvelland
8951,Dranouter
8952,Wulvergem
8953,Wijtschate
8956,Kemmel
8957,Messines
8958,Loker
8970,Reningelst
8980,Beselare
9690,Ruien
