8000,Brugge
8020,Hertsberge
8200,Sint-Andries
8210,Loppem
8211,Aartrijke
8300,Knokke
8301,Heist-aan-Zee
8310,Assebroek
8340,Damme
8370,Blankenberge
8377,Houtave
8380,Dudzele
8400,Oostende
8420,De Haan
8421,Vlissegem
8430,Middelkerke
8431,Wilskerke
8432,Leffinge
8433,Mannekensvere
8434,Lombardsijde
8450,Bredene
8460,Ettelgem
8470,Gistel
8480,Bekegem
8490,Jabbeke
8500,Kortrijk
8501,Bissegem
8510,Bellegem
8511,Aalbeke
8520,Kuurne
8530,Harelbeke
8531,Bavikhove
8540,Deerlijk
8550,Zwevegem
8551,Heestert
8552,Moen
8553,Otegem
8554,Sint-Denijs
8560,Gullegem
8570,Anzegem
8572,Kaster
8573,Tiegem
8580,Avelgem
8581,Kerkhove
8582,Outrijve
8583,Bossuit
8587,Helkijn/Helchin
8600,Beerst
8610,Handzame
8620,Nieuwpoort
8630,Avekapelle
8640,Oostvleteren
8647,Lo
8650,Houthulst
8660,Adinkerke
8670,Koksijde
8680,Bovekerke
8690,Alveringem
8691,Beveren-aan-den-Ijzer
8700,Aarsele
8710,Ooigem
8720,Dentergem
8730,Beernem
8740,Egem
8750,Wingene
8755,Ruiselede
8760,Meulebeke
8770,Ingelmunster
8780,Oostrozebeke
8790,Waregem
8791,Beveren (Leie)
8792,Desselgem
8793,Sint-Eloois-Vijve
8800,Beveren (Roeselare)
8810,Lichtervelde
8820,Torhout
8830,Gits
8840,Oostnieuwkerke
8850,Ardooie
8851,Koolskamp
8860,Lendelede
8870,Emelgem
8880,Ledegem
8890,Dadizele
8900,Brielen
8902,Hollebeke
8904,Boezinge
8906,Elverdinge
8908,Vlamertinge
8920,Bikschote
8930,Lauwe
8940,Geluwe
8950,Heuvelland
8951,Dranouter
8952,Wulvergem
8953,Wijtschate
8954,Westouter
8956,Kemmel
8957,Mesen/Messines
8958,Loker
8970,Poperinge
8972,Krombeke
8978,Watou
8980,Beselare
